phi,sigma,total_time,max_ac225_yield,time_to_peak
82762109372834.05,1e-24,288.68318601691794,9.229013342812703e+18,288.68318601691794
19036802148316.656,1e-24,66.11973603262699,1.5726223971535782e+17,66.11973603262699
217173046457045.22,1e-24,240.83714101013493,1.8123895963951757e+19,240.83714101013493
135043042182647.5,1e-24,384.8494401338525,2.318924087807715e+19,384.8494401338525
185967323237618.47,1e-24,281.25390632241795,1.9905339380880237e+19,281.25390632241795
131345234881598.47,1e-24,158.93554805067998,5.416610530632251e+18,158.93554805067998
11524860283967.07,1e-24,223.99152072385755,8.537260149621678e+17,223.99152072385755
26863917535635.016,1e-24,210.1790354250717,1.7896913880236905e+18,210.1790354250717
509103574775763.75,1e-24,124.63034807401696,1.3620838862136138e+19,124.63034807401696
13079931915544.408,1e-24,147.87810709077831,4.750998508446513e+17,147.87810709077831
38653383492561.25,1e-24,334.3390922161786,5.398985706369109e+18,334.3390922161786
130036210449976.44,1e-24,394.1101224621426,2.3100487417330295e+19,394.1101224621426
213121409943905.84,1e-24,209.12956210563456,1.4078847945092964e+19,209.12956210563456
424659426917884.94,1e-24,91.81673075477491,6.494053735752613e+18,91.81673075477491
11102586009934.672,1e-24,54.12345178006446,6.2642740060737064e+16,54.12345178006446
278431714202764.0,1e-24,236.3198428231798,2.25271827329092e+19,236.3198428231798
21015685377232.95,1e-24,255.51193980064812,1.9305434190022725e+18,255.51193980064812
20166206287193.152,1e-24,351.1969837880907,3.0310096894823404e+18,351.1969837880907
78039153723544.27,1e-24,196.7004007872764,4.649082103644095e+18,196.7004007872764
40088903553430.4,1e-24,318.8384706282553,5.211624580497168e+18,318.8384706282553
52920656253467.55,1e-24,52.94846046488949,2.8629992645372723e+17,52.94846046488949
17219153764738.36,1e-24,481.3298556292621,4.020466805778754e+18,481.3298556292621
656389131543003.0,1e-24,352.8564955672673,9.931504720295811e+19,352.8564955672673
34020439741603.215,1e-24,484.8964249003847,8.020311376287968e+18,484.8964249003847
360995516377416.94,1e-24,361.27619268790784,5.655593830528238e+19,361.27619268790784
79199602937898.78,1e-24,143.3983653041279,2.7240679863433953e+18,143.3983653041279
15587695890838.123,1e-24,452.2751743064824,3.3507081008793426e+18,452.2751743064824
81574154229618.88,1e-24,109.15804874966285,1.715601292779427e+18,109.15804874966285
40917891678108.5,1e-24,293.817588781529,4.690240017278852e+18,293.817588781529
22570727936004.23,1e-24,429.740999205264,4.5258074752292127e+18,429.740999205264
328881208534674.44,1e-24,362.536848415959,5.178896864197833e+19,362.536848415959
73145241737988.19,1e-24,317.38133194419714,9.442731864163273e+18,317.38133194419714
147297690598414.22,1e-24,328.4248347618618,2.0027640588466065e+19,328.4248347618618
14753281949461.186,1e-24,213.74562706359873,1.0109573822790911e+18,213.74562706359873
12112348213889.809,1e-24,252.05550142981429,1.0884788258186057e+18,252.05550142981429
45679613923184.66,1e-24,80.81685254436297,5.5074111272782874e+17,80.81685254436297
